tradingsymbol,exchange,from,entry_price,close_above_emas,close_below_emas,Unnamed: 0,date,open,high,low,close,volume,ema20,ema50,ema200,supertrend_dir,is_ema20_in_uptrend,is_ema50_in_uptrend,is_ema200_in_uptrend,is_ema20_in_downtrend,is_ema50_in_downtrend,is_ema200_in_downtrend,candle_cnt_close_above_ema50,candle_cnt_close_below_ema50,candle_cnt_ema50_above_ema200,candle_cnt_ema50_below_ema200,signal,quantity,exit_price,to,transaction_type,profit,account_value,index,strategy
NIFTY 50,NSE,2015-05-28 11:15:00+05:30,8314.8,False,True,6841,2015-05-28 11:15:00+05:30,8318.05,8320.3,8312.85,8314.8,0,8330.389169436574,8330.323319227235,8344.787399293726,-1,False,False,False,True,True,True,0,5,0,205,SELL,-89.0,8352.45,2015-05-29 09:20:00+05:30,BUY,-3350.8500000001295,146149.34999999971,47,s7_NIFTY 50_
NIFTY 50,NSE,2015-05-29 10:50:00+05:30,8397.7,True,False,6911,2015-05-29 10:50:00+05:30,8398.45,8399.3,8396.2,8397.7,0,8370.581030214926,8341.95738507275,8334.080470041452,1,True,True,True,True,True,True,26,0,5,0,BUY,87.0,8383.55,2015-06-02 09:25:00+05:30,SELL,-1231.0500000001266,144918.29999999958,48,s7_NIFTY 50_
NIFTY 50,NSE,2015-06-02 11:40:00+05:30,8312.05,False,True,7071,2015-06-02 11:40:00+05:30,8308.75,8320.55,8307.1,8312.05,0,8356.79319950269,8387.92057805279,8398.055959388766,-1,False,False,False,True,True,True,0,50,0,5,SELL,-87.0,8165.8,2015-06-05 12:00:00+05:30,BUY,12723.74999999992,157642.0499999995,49,s7_NIFTY 50_
NIFTY 50,NSE,2015-06-05 15:10:00+05:30,8118.3,False,True,7338,2015-06-05 15:10:00+05:30,8116.9,8123.2,8115.6,8118.3,0,8151.034655306494,8150.029369590051,8160.823153647648,-1,False,False,False,True,True,True,0,5,0,251,SELL,-97.0,8077.65,2015-06-10 09:15:00+05:30,BUY,3943.050000000053,161585.09999999954,50,s7_NIFTY 50_
NIFTY 50,NSE,2015-06-10 11:45:00+05:30,8100.35,True,False,7522,2015-06-10 11:45:00+05:30,8100.45,8102.35,8098.1,8100.35,0,8093.891526327234,8077.4161113043165,8074.538152072201,1,True,True,True,False,False,False,31,0,5,0,BUY,99.0,8067.0,2015-06-11 10:30:00+05:30,SELL,-3301.650000000036,158283.44999999952,51,s7_NIFTY 50_
NIFTY 50,NSE,2015-06-11 11:55:00+05:30,8031.8,False,True,7599,2015-06-11 11:55:00+05:30,8033.75,8039.0,8030.95,8031.8,0,8052.383600786754,8079.541890170216,8086.277848551103,-1,False,False,False,True,True,True,0,21,0,5,SELL,-98.0,8029.45,2015-06-15 09:40:00+05:30,BUY,230.30000000003565,158513.74999999956,52,s7_NIFTY 50_
NIFTY 50,NSE,2015-06-15 14:15:00+05:30,8044.4,True,False,7777,2015-06-15 14:15:00+05:30,8037.1,8044.4,8036.95,8044.4,0,8033.083213442794,8018.871247388221,8014.710550165242,1,True,True,True,False,False,True,18,0,5,0,BUY,98.0,8012.9,2015-06-15 15:15:00+05:30,SELL,-3087.0,155426.74999999956,53,s7_NIFTY 50_
NIFTY 50,NSE,2015-06-16 09:55:00+05:30,7982.0,False,True,7800,2015-06-16 09:55:00+05:30,7984.95,7984.95,7976.4,7982.0,0,7999.193701933326,8008.623553633632,8012.797798119169,-1,True,True,False,True,True,True,0,14,0,5,SELL,-97.0,8004.65,2015-06-16 14:25:00+05:30,BUY,-2197.0499999999647,153229.6999999996,54,s7_NIFTY 50_
NIFTY 50,NSE,2015-06-17 09:35:00+05:30,8066.0,True,False,7871,2015-06-17 09:35:00+05:30,8069.9,8072.75,8064.85,8066.0,0,8040.443253584503,8014.349506126089,8005.9821753317565,1,True,True,True,False,False,False,20,0,5,0,BUY,94.0,8346.8,2015-06-24 15:10:00+05:30,SELL,26395.19999999993,179624.89999999953,55,s7_NIFTY 50_
NIFTY 50,NSE,2015-06-25 13:10:00+05:30,8389.55,True,False,8364,2015-06-25 13:10:00+05:30,8384.65,8389.75,8384.4,8389.55,0,8372.544056843775,8371.925979402791,8363.733207388106,1,True,True,True,True,True,False,5,0,251,0,BUY,107.0,8363.65,2015-06-26 09:30:00+05:30,SELL,-2771.299999999961,176853.59999999957,56,s7_NIFTY 50_
