tradingsymbol,exchange,from,entry_price,close_above_emas,close_below_emas,Unnamed: 0,date,open,high,low,close,volume,ema20,ema50,ema200,supertrend_dir,is_ema20_in_uptrend,is_ema50_in_uptrend,is_ema200_in_uptrend,is_ema20_in_downtrend,is_ema50_in_downtrend,is_ema200_in_downtrend,candle_cnt_close_above_ema50,candle_cnt_close_below_ema50,candle_cnt_ema50_above_ema200,candle_cnt_ema50_below_ema200,signal,quantity,exit_price,to,transaction_type,profit,account_value,index,strategy
NIFTY 50,NSE,2023-01-20 14:40:00+05:30,18023.95,False,True,146344,2023-01-20 14:40:00+05:30,18023.35,18027.05,18019.1,18023.95,0,18059.611382392173,18080.724192600228,18087.941845989582,-1,False,False,True,True,True,True,0,17,0,5,SELL,-2162.0,18160.0,2023-01-23 09:50:00+05:30,BUY,-294140.0999999984,7502503.4999999935,786,s8_NIFTY 50
NIFTY 50,NSE,2023-01-23 10:25:00+05:30,18150.05,True,False,146368,2023-01-23 10:25:00+05:30,18149.45,18150.95,18142.6,18150.05,0,18120.4076153017,18098.963468884154,18090.67556540918,1,True,True,True,True,True,False,15,0,5,0,BUY,2066.0,18083.2,2023-01-24 13:50:00+05:30,SELL,-138112.099999997,7364391.399999997,787,s8_NIFTY 50
NIFTY 50,NSE,2023-01-25 09:40:00+05:30,18017.2,False,True,146509,2023-01-25 09:40:00+05:30,18027.4,18030.8,18017.2,18017.2,0,18078.397270019406,18102.21145191163,18113.010850751503,-1,False,False,False,True,True,True,0,9,0,5,SELL,-2043.0,17682.55,2023-01-31 15:25:00+05:30,BUY,683689.950000003,8048081.35,788,s8_NIFTY 50
NIFTY 50,NSE,2023-02-01 09:50:00+05:30,17767.9,True,False,146811,2023-02-01 09:50:00+05:30,17763.65,17785.2,17761.65,17767.9,0,17715.189449401303,17672.225330757658,17658.885944933103,1,True,True,True,False,False,True,18,0,5,0,BUY,2264.0,17588.5,2023-02-01 14:35:00+05:30,SELL,-406161.6000000033,7641919.749999996,789,s8_NIFTY 50
NIFTY 50,NSE,2023-02-02 13:00:00+05:30,17537.45,False,True,146924,2023-02-02 13:00:00+05:30,17575.55,17588.45,17531.5,17537.45,0,17576.64630107664,17599.057314264606,17656.953254975728,-1,True,True,False,True,True,True,0,10,0,49,SELL,-2178.0,17683.7,2023-02-03 09:55:00+05:30,BUY,-318532.5,7323387.249999996,790,s8_NIFTY 50
NIFTY 50,NSE,2023-02-03 12:55:00+05:30,17681.85,True,False,146998,2023-02-03 12:55:00+05:30,17709.1,17709.7,17680.25,17681.85,0,17674.580350308406,17650.467436218383,17644.064749750134,1,True,True,True,False,False,False,17,0,5,0,BUY,2070.0,17686.35,2023-02-07 12:45:00+05:30,SELL,9315.0,7332702.249999996,791,s8_NIFTY 50
NIFTY 50,NSE,2023-02-07 14:50:00+05:30,17767.1,True,False,147171,2023-02-07 14:50:00+05:30,17760.35,17770.4,17760.35,17767.1,0,17730.03448837246,17726.89305392483,17722.703067995182,1,True,True,True,False,False,False,5,0,5,0,BUY,2063.0,17821.3,2023-02-10 13:15:00+05:30,SELL,111814.6000000015,7444516.849999998,792,s8_NIFTY 50
NIFTY 50,NSE,2023-02-10 15:20:00+05:30,17859.5,True,False,147402,2023-02-10 15:20:00+05:30,17855.95,17860.8,17850.4,17859.5,0,17847.35467712105,17844.683929231913,17836.425461402334,1,True,True,True,True,True,False,5,0,236,0,BUY,2084.0,17796.1,2023-02-13 09:50:00+05:30,SELL,-132125.60000000303,7312391.249999994,793,s8_NIFTY 50
NIFTY 50,NSE,2023-02-13 10:25:00+05:30,17757.7,False,True,147418,2023-02-13 10:25:00+05:30,17749.65,17758.45,17748.55,17757.7,0,17795.040374854216,17819.568239430104,17830.56700878896,-1,True,True,True,True,True,True,0,13,0,5,SELL,-2058.0,17832.6,2023-02-14 09:55:00+05:30,BUY,-154144.1999999955,7158247.049999999,794,s8_NIFTY 50
NIFTY 50,NSE,2023-02-14 11:10:00+05:30,17853.2,True,False,147502,2023-02-14 11:10:00+05:30,17853.1,17857.5,17850.45,17853.2,0,17835.511022477218,17814.44552822166,17809.863342495355,1,True,True,True,False,False,False,24,0,5,0,BUY,2004.0,17979.7,2023-02-17 11:30:00+05:30,SELL,253506.0,7411753.049999999,795,s8_NIFTY 50
